title,abstract,sha,full_text_file,has_pdf_parse,has_pmc_xml_parse,publish_time
Comparison of ascites production for monoclonal antibodies in BALB/c and BALB/c-derived cross-bred mice,"Abstract BALB/c male mice were mated with either Swiss-Webster or MF1 females to produce first generation cross-bred offspring. Hybridoma cell lines, from the fusion of P3-NS1-Ag4/1 myeloma cells with spleen cells sensitised to the porcine coronavirus causing transmissible gastroenteritis, were injected intraperitoneally into these mice to produce ascitic fluid containing monoclonal antibodies. Mice of 11 weeks of age weighing between 26 and 34 g were used. The volume of ascites produced by mice injected with four of the five hybrid cell lines tested was greater in the cross-bred offspring than in the BALB/c parent. The fifth cell line gave comparable volumes in the MF1 cross-breed and BALB/c parent but a lesser volume in the Swiss-Webster cross-breed. The antibody titres of the ascites as determined by virus neutralisation, radioimmune and indirect immune fluorescence assays, did not differ significantly between mouse types. The ability to use all offspring from a litter of cross-bred mice, irrespective of sex, and the increased volume of ascitic fluid formed in each mouse, permits fewer animals to be used for the production of ascites in these strains, thereby offering considerable economic and ethical advantages over the use of BALB/c mice.",c93a0161a57b9a8ebcc1c6395d81ad237b38e66a,custom_license,True,False,1989-05-12
CHAPTER 28 Coronaviridae,"Publisher Summary Coronaviruses are ssRNA viruses that infect a wide range of mammalian and avian species; they are important causes of respiratory and enteric disease, encephalomyelitis, hepatitis, serositis, and vasculitis in domestic animals. In humans, coronaviruses are one of several groups of viruses that cause the common cold. The prototype of the family, avian infectious brochitis virus, is one of the most infectious of all viruses and causes an acute respiratory disease, which in young chicks can cause very high mortality. Outbreaks can be explosive, involving nearly every bird in the flock at about the same time, because of respiratory transmission and a very short incubation period. In many ways, transmissible gastroenteritis virus of swine and mouse hepatitis virus behave similarly, affecting young animals most severely, spreading very quickly to all animals at risk, and causing major economic losses before control strategies can be put into place. The strategy of expression of the coronavirus genome is unique. The input virion RNA molecule is translated directly, one of the products being an RNA polymerase that then transcribes a full-length (—) sense copy RNA, from which in turn is transcribed a 3′-coterminal nested set of subgenomic mRNAs. The nested set comprises six overlapping species of mRNAs that extend for different lengths from a common 3′ terminus. Only the unique sequence toward the 5′ end, which is not shared with the next smallest mRNA in the nested set, is translated, each product, therefore, being a unique protein.",0d9de5c910f092a3bb01beb690c06445d6cf1ca2,custom_license,True,False,1987-12-31
Chapter 1 Agents of Emerging Infectious Diseases,"Abstract Dramatic improvements in the control of infectious diseases in developed countries owing to socioeconomic changes, vaccines, and antibiotics during the first seven decades of the 20th century led to the mistakened concept that infectious diseases would no longer be a concern. Since the declaration of victory in the war against infectious diseases in 1967, approximately 50 new disease agents have been identified. Nearly every type of etiologic agent and clinical manifestation have been involved including acute respiratory infections (e.g., H5N1 influenza A, SARS, hantaviral cardiopulmonary syndrome, and Legionnaires’ disease), central nervous system involvement (e.g., West Nile encephalitis, Nipah virus encephalitis, and prion diseases), enteric infections (e.g., Helicobacter pylori gastric and duodenal diseases, cryptosporidiosis, microsporidioses, and Shiga toxin diseases), systemic bacterial diseases (e.g., Lyme disease, six new rickettsioses, three new human ehrlichioses, bartonelloses, and staphylococcal and streptococcal toxic shock syndrome), viral hemorrhagic fevers (e.g., Marburg, Ebola, Lassa, Bolivian, Argentine, and Venezuelan hemorrhagic fevers), human retroviral infections (e.g., HIV1 and 2 and HTLV-I and II), new human herpesviruses (HHV6, HHV7, and HHV8), and the viral agents of hepatitis A, B, C, D, and E. There are the reciprocal threats that a bioterror agent (e.g., smallpox virus) could cause a newly emerging infectious disease (EID) and that an agent of emerging infections (e.g., SARS-coronavirus or Rift Valley fever virus) could be disseminated by terrorists. Vaccines offer a critically important potential countermeasure against the effects of these and future EIDs. An aggressive approach to developing prototype vaccines against each new class of etiologic agent must be driven by public health initiatives because commercial interests will not undertake these projects. The microbe must be completely characterized biologically, molecularly, and genetically. An accurate animal model of the human infectious disease should be developed. The mechanisms of vaccine-induced protective immunity must be elucidated and the antigens that stimulate these mechanisms of protective immune memory identified. Preclinical testing of vaccine candidates should then be completed in the animal models. It would be most effective if subunit vaccine platforms were developed in which new antigen cassettes could be inserted and FDA approval obtained using one or more prototypes. Experience in manufacturing and a track record of effectiveness and safety for vaccines against numerous emerging infectious agents could be achieved for veterinary diseases caused by organisms that also cause emerging human infections (e.g., West Nile virus and ehrlichioses). In the United States, these approaches are driven currently by individual investigator initiative in pursuing the scientific questions through grants from the National Institute of Allergy and Infectious Diseases. Progress occurs, but not at the desired level. An emerging infection with high transmissibility (e.g., R o=10) and a case-fatality rate of 15% would cause global devastating effects at a level on the order of magnitude of a nuclear war. Our efforts to prepare for EIDs fall far short of nuclear attack preparedness during the Cold War.",023b89a5ec6dec38e943ec4cfc67598845d3b0ff,custom_license,True,False,2009-12-31
Avian Infectious Bronchitis Virus,"Publisher Summary This chapter provides an overview of the classification, description, hosts, key developments, diagnostic techniques, and diagnostic reagents for avian infectious bronchitis virus. Avian infectious bronchitis virus belongs to the family Coronaviridae; genus Coronavirus; and species Avian infectious bronchitis virus. The virus causes acute contagious respiratory illness and includes reproductive tissue disease in chickens. The hosts of avian infectious bronchitis virus are only chickens. Avian infectious bronchitis disease was first reported in the United States. Vaccines for this disease were developed in the 1950s and the economic impact diminished. The diagnostic techniques for avian infectious bronchitis virus are virus neutralisation (VN), agar gel immunodiffusion (AGID), fluorescent antibody (FA), compliment fixation (CF), and enzyme-linked immunosorbent assay (ELISA).",7601f80f8b2d0ad5ca0079439ef90136664e9cfb,custom_license,True,False,1983-12-31
Human Coronaviruses: General Features,"Abstract Human coronaviruses (HCoVs), including HCoV-229E, HCoV-OC43, HCoV-NL63, and HCoV-HKU1, are traditionally known to cause symptoms of common cold with only moderate clinical impact. Severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), on the other hand, have strike humans in the past two decades as highly fatal human pathogens leading to considerable mortality and economic loss. This article summaries the updates on the structure, genome organization, replication and clinical features of human coronaviruses. Recent studies also shed light upon the zoonotic origin of emerging human pathogens including SARS-CoV and MERS-CoV, providing insight for future surveillance and intervention.",90798ce4da0c11f8eba3a943743b0a1584ff046a,custom_license,True,False,2019-12-31
Chapter 18 Family Arteriviridae,"Abstract The family Arteriviridae is one of four families in the order Nidovirales. Arteriviruses are enveloped, plus-strand RNA viruses with genomes of 12.7–15.7kb. The overall genome organization and gene expression strategy of the arteriviruses is highly similar to the coronaviruses. Notably they use a discontinuous transcription strategy for synthesis of subgenomic mRNAs. There are no recognized human pathogens among the arteriviruses. Members of the family include equine arteritis virus and porcine reproductive and respiratory syndrome virus, the latter an economically important pathogen of pigs.",d0aa9e7ce12b10d7a289f64b6279b6c1455b9d9a,custom_license,True,False,2017-12-31
Chapter 11 Structural Insight Into the Viral 3C-Like Protease Inhibitors: Comparative SAR/QSAR Approaches,"Abstract Severe acute respiratory syndrome (SARS), caused by SARS-coronavirus (SARS-CoV), is a dreadful infection worldwide having economic and medical importance and a global threat for health. It was turned into an epidemic in South China followed by a chain of infections across three generations. A number of pathogeneses in human may occur due to the virus. This infection has not been taken into account before the SARS outbreak, and still it is a neglected one. Therefore, there is an urgent need to develop small molecule antivirals to combat the SARS-CoV. No vaccines are available till date though a number of SARS-CoV 3C-like and 3C protease inhibitors were reported. In this chapter, quantitative structure–activity relationship technique is used for development of anti-SARS and anti-HRV drugs and outcome discussed in details. This approach may be a useful strategy to design novel and potential anti-SARS drugs to combat these dreadful viral diseases.",5779e410753e13a0a79f9f872321fe42df49e65c,custom_license,True,False,2017-12-31
Chapter 3 Infectious Bronchitis Virus in Poultry: Molecular Epidemiology and Factors Leading to the Emergence and Reemergence of Novel Strains of Infectious Bronchitis Virus,"Abstract Infectious bronchitis virus (IBV) is a coronavirus that causes an acute and highly contagious disease in chickens. The virus can cause substantial economic losses throughout the poultry industry worldwide. It can affect the upper respiratory tract and the reproductive tract, and some strains can cause nephritis. The causative agent IBV is an RNA virus with great ability for mutation and recombination, thus capable of generating new virus strains that are difficult to control. There are many IBV strains found worldwide, including the Massachusetts, 4/91, D274, and QX-like strains that can be grouped under the classic or variant serotypes. In addition, new types of the virus continue to arise due to mutations and recombination events in the viral genome and even more factors, making this virus difficult to identify and extremely difficult to control. Surveillance and identification of IBV types are extremely important for control of the disease and the advancement of molecular methods has aided in this pursuit. Genetic typing of IBV, which involves reverse transcription polymerase chain reaction amplification and sequence analysis of the S1 glycoprotein gene, has revolutionized diagnosis and identification of this virus by making it possible to type and compare the relatedness of a large number of virus isolates in a short period of time. Several conventional and molecular diagnostic methods have been described for the diagnosis of IB in chickens. “All-in/all-out” operations of rearing along with good biosafety measures form the basis of prevention, whereas vaccination forms the backbone of IB control program. Both live and inactivated (oil emulsified) conventional vaccines are available. The new generation vaccines (recombinant and vector-based) developed against locally prevailing IBV strains may be more helpful and avoid the reversion of virulence in live vaccine viruses.",a0de24c5fdb4a0e77b1b5e8c002ced81ebe9b227,custom_license,True,False,2020-12-31
Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,"Abstract The current coronavirus disease 2019 (COVID-19) pneumonia pandemic, caused by the severe acute respiratory syndrome 2 (SARS-CoV-2) virus, is spreading globally at an accelerated rate, with a basic reproduction number (R0) of 2 – 2.5, indicating that 2 – 3 persons will be infected from an index patient. A serious public health emergency, it is particularly deadly in vulnerable populations and communities in which healthcare providers are insufficiently prepared to manage the infection. As of March 16, 2020, there are more than 180,000 confirmed cases of COVID-19 worldwide, with over 7,000 related deaths. The SARS-CoV-2 virus has been isolated from asymptomatic individuals, and affected patients continue to be infectious two weeks after cessation of symptoms. The substantial morbidity and socioeconomic impact have necessitated drastic measures across all continents, including nationwide lockdowns and border closures. Pregnant women and their fetuses represent a high-risk population during infectious disease outbreaks. To date, the outcomes of 55 pregnant women infected with COVID-19 and 46 neonates have been reported in the literature, with no definite evidence of vertical transmission. Physiological and mechanical changes in pregnancy increase susceptibility to infections in general, particularly when the cardiorespiratory system is affected, and encourage rapid progression to respiratory failure in the gravida. Furthermore, the pregnancy bias towards T-helper 2 (Th2) system dominance which protects the fetus, leaves the mother vulnerable to viral infections, which are more effectively contained by the Th1 system. These unique challenges mandate an integrated approach to pregnancies affected by SARS-CoV-2. Here we present a review of COVID-19 in pregnancy, bringing together the various factors integral to the understanding of pathophysiology and susceptibility, diagnostic challenges with real-time reverse transcriptase polymerase chain reaction (RT-PCR) assays, therapeutic controversies, intrauterine transmission and maternal-fetal complications. We discuss the latest options in antiviral therapy and vaccine development, including the novel use of chloroquine in the management of COVID-19. Fetal surveillance, in view of the predisposition to growth restriction and special considerations during labor and delivery are addressed. Additionally, we focus on keeping frontline obstetric care providers safe while continuing to provide essential services. Our clinical service model is built around the principles of workplace segregation, responsible social distancing, containment of cross-infection to healthcare providers, judicious use of personal protective equipment and telemedicine. Our aim is to share a framework which can be adopted by tertiary maternity units managing pregnant women in the flux of a pandemic while maintaining the safety of the patient and healthcare provider at its core.",5dc4268a42adf3d5c55c87b7f6518de600b057c5,custom_license,True,False,2020-03-23
Infectious bronchitis virus in different avian physiological systems—A field study in Brazilian poultry flocks,"Abstract Avian infectious bronchitis is a highly contagious viral disease with economic effects on poultry agribusiness. The disease presents multi-systemic clinical signs (respiratory, renal, enteric, and reproductive) and is caused by one coronavirus (infectious bronchitis virus, IBV). Infectious bronchitis virus is classified into different serotypes and genotypes (vaccine strains and field variants). This study aimed to evaluate the occurrence of IBV in commercial poultry flocks from 3 important producing regions in Brazil and to determine the tropism of the main circulating genotypes to 3 different avian physiological systems (respiratory, digestive, urinary/reproductive). Clinical samples with suggestive signs of IBV infection were collected from 432 different poultry commercial flocks (198 from broilers and 234 from breeders). The total number of biological samples consisted of organ pools from the 3 above physiological systems obtained of farms from 3 important producing regions: midwest, northeast, and south. Infectious bronchitis virus was detected by reverse-transcription, real-time PCR of the 5′ untranslated region. The results showed 179 IBV-positive flocks (41.4% of the flocks), with 107 (24.8%) from broilers and 72 (16.8%) from breeders. There were similar frequencies of IBV-positive flocks in farms from different regions of the country, most often in broilers (average 54%) compared with breeders (average 30.8%). reverse-transcription was more frequently detected in the digestive system of breeders (40%), and in the digestive (43.5%) and respiratory (37.7%) systems of broilers. Infectious bronchitis virus genotyping was performed by a reverse-transcription nested PCR and sequencing of the S1 gene from a selection of 79 IBV-positive flocks (45 from broilers and 34 from breeders). The majority of the flocks were infected with Brazilian variant genotype than with Massachusetts vaccine genotype. These results demonstrate the predominance of the Brazilian variant (mainly in the enteric tract) in commercial poultry flocks from 3 important producing regions in Brazil.",16497fd9524979c594eee37ef343da2a871cd2d0,custom_license,True,False,2014-08-01
