index,title,text
1892,Chapter 3 Infectious Bronchitis Virus in Poultry: Molecular Epidemiology and Factors Leading to the Emergence and Reemergence of Novel Strains of Infectious Bronchitis Virus,"Infectious bronchitis virus (IBV) is a coronavirus that causes an acute and highly contagious disease in chickens. The virus can cause substantial economic losses throughout the poultry industry worldwide. It can affect the upper respiratory tract and the reproductive tract, and some strains can cause nephritis (Cavanagh, 1997) . IBV is the prototype species of the Coronavirus family, Gamma coronavirus genus, classified in the order Nidovirales, and it is the type species of the genus coronavirus of the domestic chicken (Gallus gallus) (Cavanagh and Naqi, 2003; Cook et al., 2012) . Infectious bronchitis (IB) was first observed by Schalk and Hawn (1931) in North Dakota in the United States in 2-to 3week-old chickens. However, the nature of the infectious agent was not determined at that time and was assumed that IB was mainly a disease of young chickens. Hence, the disease was named ""infectious bronchitis of young chicks."" Five years later, it was demonstrated that the causative agent of this disease is a virus, which was named IBV (Beach and Schalm, 1936) . Since that initial discovery, many different serotypes, defined by neutralizing antibodies, and genetic types, based on the deduced amino acid sequence (from the nucleic acid sequence) of the spike gene, have been described around the world (El-Houadfi et al., 1986; Jackwood et al., 1997) ."
1892,Chapter 3 Infectious Bronchitis Virus in Poultry: Molecular Epidemiology and Factors Leading to the Emergence and Reemergence of Novel Strains of Infectious Bronchitis Virus,"For logistics and economic reasons, some commercially available live attenuated IBV vaccines have been combined with other virus vaccines such as those against Newcastle disease virus, Marek's disease virus, and infectious bursal disease virus. However, it is not clear whether the combination may influence immune response to the combined antigen (Vagnozzi et al., 2010) , and if excess IBV component is present, IBV may interfere with other virus response such as NDV response (Thornton and Muskett, 1975) ."
2681,Protective effects of hypericin against infectious bronchitis virus induced apoptosis and reactive oxygen species in chicken embryo kidney cells,"Avian infectious bronchitis virus (IBV), a member of the Coronaviridae family (Cook et al., 2012) , causes mild-to-acute respiratory disease in chickens (Benyeda et al., 2009; Westerbeck and Machamer, 2019) . IBV infects chickens via the respiratory tract, from which it can spread to other epithelial tissues. Therefore, IBV not only injures the respiratory tract, but also causes damage to the digestive system and urogenital system, such as the proventriculus, kidney, ovary, and oviduct, resulting in respiratory disease, interstitial nephritis, and dysplasia of the oviduct (Zhong et al., 2016) . IBV has led to severe economic losses in the poultry industry worldwide. It has been demonstrated that IBV not only causes direct loss due to high mortality, secondary bac-terial infection, poor meat production, and egg quality, but also indirect losses arises from increasing drug costs and vaccination in IBV prevention (Liang et al., 2019) ."
4174,The psychological impact of the COVID-19 epidemic on college students in China,"Data were analyzed with SPSS Version 22.0. An analysis of descriptive statistics was conducted to illustrate the demographic and other selected characteristics of the respondents. A univariate analysis (Nonparametric test) was used to explore the significant associations between sample characteristics and the anxiety level during the COVID-19 epidemic (Abdellatif et al., 2020) . Statistically significant variables were screened and included in multivariate logistic regression analyses. The estimates of the strengths of associations were demonstrated by the odds ratio (OR) with a 95% confidence interval (CI). Spearman's correlation coefficient, r, was used to evaluate the association between COVID-19-related stressors, including economic and daily-life related stressors, as well as stressors related to delays in academic activities, and anxiety level. A two-tailed p < .05 was considered statistically significant."
4174,The psychological impact of the COVID-19 epidemic on college students in China,"The results of the correlation analysis are shown in Table 4 . Worry about the economic influences of the epidemic were positively related to the levels of anxiety in college students (r = .327, P < .001). Moreover, worry about academic delays (r = .315, P < .001) and the influence of the epidemic on daily-life (r = .316, P < .001) were also moderately and positively correlated with the level of anxiety. In addition, the results suggested a negative association between social support and anxiety symptoms of college students during the COVID-19 outbreak. (r = -.151, P < .001). Table 4 Correlation analysis between the COVID-19-related stressors and college students' anxiety when facing the epidemic "
4174,The psychological impact of the COVID-19 epidemic on college students in China,"Multivariate Logistic regression analysis suggested that living in urban areas, in contrast to rural areas, was conducive to reducing the anxiety of college students. This might be explained by the imbalance of economic, cultural, and educational resources between urban and rural areas. The urban economy is relatively prosperous and provides citizens with better material security (Shigemura et al., 2020) . Similarly, the sanitary conditions in cities are better than in towns and villages, which decreases the chances of surviving the virus. Cities also have excellent educational resources, and they have made great efforts to publicize knowledge on how to prevent the epidemic, which attracts attention to the measures taken to stop the epidemic . The stability of family income was also was a significant factor in students' experienced anxiety during the COVID-19 crisis, which could be explained by increased psychological and economic pressure (Liu, 2013) . Living with parents was another favorable factor against feeling anxious. Previous studies have indicated that the risk factors associated with emotional and anxiety disorders in adults include the death of parents in childhood, not living with parents, and parents' psychological problems and mental illnesses (Woodgate et al.,2020; Gentili et al., 2020) , which are consistent with the results of this study. Relatives or acquaintances being infected with COVID-19 was an independent risk factor in college students' anxiety about the epidemic, which might be related to the high contagiousness of the new coronavirus pneumonia (World Health Organization, 2020; Song et al., 2019) . Consistent with our hypothesis, the COVID-19-related stressors, which include economic stressors, effects on daily-life, and academic delays, were positively associated with anxiety symptoms of Chinese college students during the epidemic. Similar studies (Kernan, 2019) have indicated that in addition to the national health situation, the epidemic will also have a significant impact on the economy of the country and individuals. Because of the outbreak, some families will lose their source of income, and students might feel anxious about paying their tuition fees (Peng et al., 2012) . In China, the government took measures, including travel warnings and bans, and extending the national holidays to control the outbreak, which inevitably disrupted routine life and resulted in anxiety. In the mainland China and Hong Kong, all primary and secondary schools were closed, and universities were either postponing classes until March 2020 or were using distant/remote learning methods (Kwok et al., 2020) . These measures undoubtedly have a specific impact on the education and the growth of students. Finally, social support was negatively correlated with the anxiety of college students, which is consistent with previous findings (Thompson et al., 2016; . Social support not only reduces the psychological pressure during the epidemics but also changes the attitude regarding social support and help-seeking methods. This result suggests that effective and robust social support is necessary during public health emergencies (Bai et al., 2005) ."
4174,The psychological impact of the COVID-19 epidemic on college students in China,"About 24.9% of college students have experienced anxiety because of this COVID-19 outbreak. Living in urban areas, living with parents, having a steady family income were protective factors for college students against experienced anxiety during the COVID-19 outbreak. However, having a relative or an acquaintance infected with COVID-19 was an independent risk factor for experienced anxiety. The COVID-19-related stressors that included economic stressors, effects on daily-life, and academic delays were positively associated with the level of anxiety symptoms of Chinese college students during the epidemic, whereas social support was negatively correlated with their anxiety."
7839,Immunohistochemical and molecular detection of natural cases of bovine rotavirus and coronavirus infection causing enteritis in dairy calves,"Livestock sector in India plays a pivotal role in supporting the livelihood of rural masses. This sector alone contributes 4.11% of the total GDP. Economics of any livestock farm dependent on the health of its neonates, which are the future herd [1] . Despite the fact, neonatal calves are abysmally cared, with the result significant morbidity and mortality of these calves incurred huge economic consequences. Amongst various causes, the calf diarrhoea (enteritis) is a commonly reported disease worldwide in cattle. Diarrhoea is a multi-factorial disease, which accounts for 57% of mortality in < 1 month old calves [2] . In diarrhoeic calves, although co-infection observed frequently, but at times a single etiology can also be the cause in some cases. Major enteric viral pathogens responsible for calf diarrhoea are mainly Rotavirus and Coronavirus. Of late, newer emerging enteric pathogens such as Torovirus, Norovirus, Nebovirus, Enterovirus, Calcivirus and Parvovirus have also been added to the list of diarrhoea causing agents [3] . Co-infection with more than one pathogen is more frequent and often worsens the symptoms. The tetrad of Rotavirus, Coronavirus, Cryptosporidium, and Escherichia coli accounts for 75-95% of infection in neonatal calves worldwide, of which especially rotavirus and coronavirus account for 27-36% and 20-26% infections, respectively [4] [5] [6] [7] . Among all pathogens, rotaviruses are the leading cause of calf diarrhoea, and coronaviruses are a major contributor to it [4, 5, 8, 9] . The coronavirus infect both small intestine and large intestine to cause severe disease [10] . In calves, group A rotavirus and coronavirus, either single or in combination, are predominately associated with neonatal (mostly up to 5-15 day old) diarrhoea [11] [12] . The diagnosis of diarrhoea (enteritis) cases is cumbersome due to non specific nature of clinical signs/lesions, interaction of polymicrobial agents and involvement of intrinsic and extrinsic risk factors [13] ."
7841,Gga-miR-30d regulates infectious bronchitis virus infection by targeting USP47 in HD11 cells,"Infectious bronchitis (IB), caused by infectious bronchitis coronavirus (IBV), is a highly contagious viral disease of the chicken [1] . Since IB was first described by Schalk and Hawn in USA in 1931 [2] , it has developed into one of the foremost causes of economic loss in the poultry industry, affecting the performance of both meat-type and egglaying chickens. IBV is an enveloped, non-segmented, single-stranded, positive-sense RNA virus, classified taxonomically as a member of genus Gammacoronavirus, family Coronaviridae [3] . Initially, this pathogen replicated primarily in the respiratory tract, causing a highly contagious respiratory disease characterized by nasal discharge, snicking, rales, and tracheal ciliostasis in chickens, but later reports demonstrated that it also replicated in many other epithelial surfaces, including enteric surfaces, oviducts, and kidneys [4] . Although vaccination is the most reliable approach to control IBV, the high mutation rate and recombination events differentiate IBV into numerous genotypes and serotypes, causing poor cross-protection of vaccines [5] . Therefore, it is urgent to apply new technologies and methods to control IBV."
8080,SARS-CoV-2: fear versus data,"In comparison, the mortality rate of SARS-CoV-2 in European or American developed countries of a comparable economic level is 1.3% (Table 3 ). If the extrapolation of deaths in AP-HM hospitals is correct, in metropolitan France, this would represent 543/0.8 * 100 = 67 875 cases of patients hospitalized with a respiratory infection with common coronaviruses in 2 months, which is almost as many cases of SARS-CoV-2 worldwide. In fact, mortality from respiratory infections is extremely dependent on the quality of care and access to care, and severe forms have a better prognosis in countries with superior medical infrastructures. Under these conditions, there does not seem to be a significant difference between the mortality rate of SARS-CoV-2 in OECD countries and that of common coronaviruses (χ 2 test, P=0.11). Of course, the major flaw in this study is that the percentage of deaths attributable to the virus is not determined, but this is the case for all studies reporting respiratory virus infections, including SARS-CoV-2. Indeed, viral infections are ecosystem infections where the outcome depends on the inoculums and the surrounding microbiota [26] . Thus, certain bacteria seem to be associated with symptomatic manifestations, such as Streptococcus pneumoniae, Haemophilus influenzae and Staphylococcus aureus, which are known to cause an excess of mortality due to secondary infection. Finally, seasonality, geographic location, heat and humidity are co-factors, as are age, gender and underlying pathologies. Under these conditions, and all other things being equal, SARS-CoV-2 infection cannot be described as being statistically more severe than infection with other coronaviruses in common circulation."
