title,abstract,sha,full_text_file,has_pdf_parse,has_pmc_xml_parse,publish_time
Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,"Abstract The current coronavirus disease 2019 (COVID-19) pneumonia pandemic, caused by the severe acute respiratory syndrome 2 (SARS-CoV-2) virus, is spreading globally at an accelerated rate, with a basic reproduction number (R0) of 2 – 2.5, indicating that 2 – 3 persons will be infected from an index patient. A serious public health emergency, it is particularly deadly in vulnerable populations and communities in which healthcare providers are insufficiently prepared to manage the infection. As of March 16, 2020, there are more than 180,000 confirmed cases of COVID-19 worldwide, with over 7,000 related deaths. The SARS-CoV-2 virus has been isolated from asymptomatic individuals, and affected patients continue to be infectious two weeks after cessation of symptoms. The substantial morbidity and socioeconomic impact have necessitated drastic measures across all continents, including nationwide lockdowns and border closures. Pregnant women and their fetuses represent a high-risk population during infectious disease outbreaks. To date, the outcomes of 55 pregnant women infected with COVID-19 and 46 neonates have been reported in the literature, with no definite evidence of vertical transmission. Physiological and mechanical changes in pregnancy increase susceptibility to infections in general, particularly when the cardiorespiratory system is affected, and encourage rapid progression to respiratory failure in the gravida. Furthermore, the pregnancy bias towards T-helper 2 (Th2) system dominance which protects the fetus, leaves the mother vulnerable to viral infections, which are more effectively contained by the Th1 system. These unique challenges mandate an integrated approach to pregnancies affected by SARS-CoV-2. Here we present a review of COVID-19 in pregnancy, bringing together the various factors integral to the understanding of pathophysiology and susceptibility, diagnostic challenges with real-time reverse transcriptase polymerase chain reaction (RT-PCR) assays, therapeutic controversies, intrauterine transmission and maternal-fetal complications. We discuss the latest options in antiviral therapy and vaccine development, including the novel use of chloroquine in the management of COVID-19. Fetal surveillance, in view of the predisposition to growth restriction and special considerations during labor and delivery are addressed. Additionally, we focus on keeping frontline obstetric care providers safe while continuing to provide essential services. Our clinical service model is built around the principles of workplace segregation, responsible social distancing, containment of cross-infection to healthcare providers, judicious use of personal protective equipment and telemedicine. Our aim is to share a framework which can be adopted by tertiary maternity units managing pregnant women in the flux of a pandemic while maintaining the safety of the patient and healthcare provider at its core.",5dc4268a42adf3d5c55c87b7f6518de600b057c5,custom_license,True,False,2020-03-23
COVID-19 and Italy: what next?,"Summary The spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has already taken on pandemic proportions, affecting over 100 countries in a matter of weeks. A global response to prepare health systems worldwide is imperative. Although containment measures in China have reduced new cases by more than 90%, this reduction is not the case elsewhere, and Italy has been particularly affected. There is now grave concern regarding the Italian national health system's capacity to effectively respond to the needs of patients who are infected and require intensive care for SARS-CoV-2 pneumonia. The percentage of patients in intensive care reported daily in Italy between March 1 and March 11, 2020, has consistently been between 9% and 11% of patients who are actively infected. The number of patients infected since Feb 21 in Italy closely follows an exponential trend. If this trend continues for 1 more week, there will be 30 000 infected patients. Intensive care units will then be at maximum capacity; up to 4000 hospital beds will be needed by mid-April, 2020. Our analysis might help political leaders and health authorities to allocate enough resources, including personnel, beds, and intensive care facilities, to manage the situation in the next few days and weeks. If the Italian outbreak follows a similar trend as in Hubei province, China, the number of newly infected patients could start to decrease within 3–4 days, departing from the exponential trend. However, this cannot currently be predicted because of differences between social distancing measures and the capacity to quickly build dedicated facilities in China.",849f0d4e93647e40b3a6f0841ebb2dd6a890a6b7,custom_license,True,False,2020-03-13
Unknown unknowns – COVID-19 and potential global mortality,"Abstract COVID-19 (SARS-CoV-2) is currently a global pandemic. This paper will attempt to estimate global infection rates and potential resultant mortality in the absence of effective treatment and/or vaccination. Calculations are based on World Health Organisation data from Wuhan in China: 14% of infected cases are severe, 5% require intensive care and 4% die. Estimated infection rates and mortality rates at the level of continents and some individual countries (when these are of sufficient size) are tabulated. This pandemic may cause close to half a billion deaths, i.e. 6% of the global population – and potentially more. At the risk of sounding sensational, but with a sober sense of realism, healthcare risks being plunged into the Middle-Ages if the public do not do their part. Infection cannot occur in the absence of contact. The only way to mitigate these numbers is to apply social distancing and take the standard precautions so frequently reiterated by Public Health: hand washing, avoid touching the face and so on. These measures are crucial as the human cost is going to be unthinkable even in the best-case scenarios that epidemiologists are modelling.",b039cc050d0d94bf4783a550e68f3a0ce2f1f796,custom_license,True,False,2020-03-31
Using psychoneuroimmunity against COVID-19,"Abstract The worldwide outbreak of coronavirus disease 2019 (COVID-19) raises concerns of widespread panic and anxiety in individuals subjected to the real or perceived threat of the virus. Compared to general populations, patients who are institutionalized in a closed unit are also very vulnerable to COVID-19 infection and complications. This crisis touched on difficult issues of not only psychiatric care and ethics, but also psychological impacts to psychiatric care givers. In this Viewpoint, we address both physical and biopsychosocial aspects of this infection, as well as the psychoneuroimmunity of preventive strategies of healthy lifestyle, regular exercise, balanced nutrition, quality sleep and a strong connection with people. Social distancing and wearing masks might help us from pathogen exposure, yet such these measures also prevent us from expressing compassion and friendliness. Therefore, all forms of psychological support should be routinely implemented not only to consider psychological resilience but also to enhance psychoneuroimmunity against COVID-19.",4f47977f3202bca320c42ccbe3e0432c8bfab2f5,custom_license,True,False,2020-03-29
Transmission potential and severity of COVID-19 in South Korea,"Abstract Objectives Since the first case of 2019 novel coronavirus (COVID-19) identified on Jan 20, 2020 in South Korea, the number of cases rapidly increased, resulting in 6,284 cases including 42 deaths as of March 6, 2020. To examine the growth rate of the outbreak, we aimed to present the first study to report the reproduction number of COVID-19 in South Korea. Methods The daily confirmed cases of COVID-19 in South Korea were extracted from publicly available sources. By using the empirical reporting delay distribution and simulating the generalized growth model, we estimated the effective reproduction number based on the discretized probability distribution of the generation interval. Results We identified four major clusters and estimated the reproduction number at 1.5 (95% CI: 1.4-1.6). In addition, the intrinsic growth rate was estimated at 0.6 (95% CI: 0.6, 0.7) and the scaling of growth parameter was estimated at 0.8 (95% CI: 0.7, 0.8), indicating sub-exponential growth dynamics of COVID-19. The crude case fatality rate is higher among males (1.1%) compared to females (0.4%) and increases with older age. Conclusions Our results indicate early sustained transmission of COVID-19 in South Korea and support the implementation of social distancing measures to rapidly control the outbreak.",1aed8cc899c77553312d72e2ec022fd77e50b4fb,custom_license,True,False,2020-03-18
Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"Abstract The emergence of the novel coronavirus disease (COVID-19) pandemic presents an unprecedented health communications challenge. Healthcare providers should reinforce behaviors that limit the spread of the pandemic, including social distancing and remaining in the home whenever possible. Formal communications toolkits may not be prepared in a timely fashion. Community pharmacists can reinforce mitigation behaviors by applying the health belief model (HBM). This commentary provides an overview of the HBM and offers suggestions on how community pharmacists can use it as a guide to patient communication in these uncertain contexts.",517d811e24514c44af9b794ab210b6f6a368adbe,custom_license,True,False,2020-03-26
Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,"Abstract The world is currently suffering through a pandemic outbreak of severe respiratory syndrome coronavirus 2 (SARS-CoV-2) known as Coronavirus Disease 2019 (COVID-19). The United States (US) Centers for Disease Control and Prevention (CDC) currently advises medical facilities to “reschedule non-urgent outpatient visits as necessary” (1). The European Centre for Disease Prevention and Control, the United Kingdom National Health Service and several other international agencies covering Asia, North America and most regions of the world have recommended similar “social distancing” measures(2, 3). The Society of Cardiovascular Computed Tomography (SCCT) offers guidance for cardiac CT (CCT) practitioners to help implement these international recommendations in order to decrease the risk of COVID-19 transmission in their facilities while deciding on the timing of outpatient and inpatient CCT exams. This document also emphasizes SCCT’s commitment to the health and well-being of CCT technologists, imagers, trainees, and research community, as well as the patients served by CCT.",93bfa987b95841fe44e740879ab622162c78a4b4,custom_license,True,False,2020-03-21
The COVID-19 pandemic: Implications for the cytology laboratory,"Abstract The coronavirus disease 2019 (COVID-19) is a pandemic with the SARS-CoV-2 virus. The infection has predominantly respiratory transmission and is transmitted through large droplets or aerosols, and less commonly by contact with infected surfaces or fomites. The alarming spread of the infection and the severe clinical disease that it may cause, have led to the widespread institution of social distancing measures. Due to repeated exposure to potentially infectious patients and specimens, healthcare and laboratory personnel are particularly susceptible to contract COVID-19. This review paper provides an assessment of the current state of knowledge about the disease and its pathology, and the potential presence of the virus in cytology specimens. It also discusses the measures that cytology laboratories can take to function during the pandemic, and minimize the risk to their personnel, trainees and pathologists. In addition, it explores potential means to continue to educate trainees during the COVID-19 pandemic.",788c83e7ccca711b4f7da85aa2ed5ea69af268e9,custom_license,True,False,2020-03-26
"Estimating the risk of 2019 Novel Coronavirus death during the course of the outbreak in China, 2020","Since the first case of Novel Coronavirus (2019-nCov) was identified in December 2019 in Wuhan City, China, the number of cases continues to grow across China and multiple cases have been exported to other countries. The cumulative number of reported deaths is at 637 as of February 7, 2020. Here we statistically estimated the time-delay adjusted death risk for Wuhan as well as for China excluding Wuhan to interpret the current severity of the epidemic in China. We found that the latest estimates of the death risk in Wuhan could be as high as 20% in the epicenter of the epidemic whereas we estimate it ~1% in the relatively mildly-affected areas. Because the elevated death risk estimates are likely associated with a breakdown of the medical/health system, enhanced public health interventions including social distancing and movement restrictions should be effectively implemented to bring the epidemic under control.",,biorxiv_medrxiv,False,False,2020-02-23
"Real-time monitoring the transmission potential of COVID-19 in Singapore, February 2020","The ongoing COVID-19 epidemic that spread widely in China since December 2019 is now generating local transmission in multiple countries including Singapore as of March 5, 2020. This highlights the need to monitor in real time the transmission potential of COVID-19. In Singapore, four major COVID-19 case clusters have emerged thus far. Here we estimate the effective reproduction number, Rt, of COVID-19 in Singapore from the publicly available daily case series of imported and autochthonous cases by date of symptoms onset, after adjusting the local cases for reporting delays. We also derive the reproduction number from the distribution of cluster sizes using a branching process analysis. The effective reproduction number peaked with a mean value ~1.0 around February 6-12, 2020 and declined thereafter. As of March 5, 2020, our most recent estimate of Rt is at 0.9 (95% CI: 0.7,1.0) while an estimate of the overall R based on cluster size distribution is at 0.7 (95% CI: 0.5, 1.0). The trajectory of the reproduction number in Singapore underscore the significant effects of containment efforts in Singapore while at the same time suggest the need to sustain social distancing and active case finding efforts to stomp out all active chains of transmission.",b842a645116edb86df997aa960699a7513f2196a,biorxiv_medrxiv,True,False,2020-02-25
