index,title,text
2254,Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,Ensures service continuity Social distancing of healthcare workers Infection control and facilitates contact tracing Common feature of each team:
7308,Unknown unknowns – COVID-19 and potential global mortality,"The World Health Organisation estimates that:  14% of infected cases are severe and require hospitalisation.  5% of infected cases are very severe and require intensive care admission, mostly for ventilation.  4% of infected die. (9) Severity is associated with increasing age and co-morbidities such as chronic heart and lung disease.(9) This virus is highly contagious with an R0 of ≥3 i.e on average it appears that each case infects some 3 others. This sets off a chain reaction, in this particular case, with a doubling time of one week or less, so that populations reach 60-80% infection rates. It is naturally difficult to estimate rates as quite a few individuals are infected and remain well (especially children) but are contagious. (9) For this reason, unless large proportions of populations are tested, we cannot possibly accurately estimate the total that have actually contracted the disease. (8) J o u r n a l P r e -p r o o f Draconian containment measures in China have reduced new cases by more than 90%. (10) This has not been the case elsewhere, and Italy has been severely affected with the number of patients infected since February following an exponential trend.(10) Intensive care units have been overwhelmed, with the bottleneck being availability of ventilators to tide critically ill patients over their intensive care stay. (10) This had led to suggestions that multiple patients could be ventilated with one machine, effectively multiplying intensive care capacity to deal with such -surges‖. (11) The careful application of basic containment measures cannot be overestimated: hand washing with soap and water, avoiding touching the face and social distancingstaying home, avoiding crowds and refraining from touching one another."
7308,Unknown unknowns – COVID-19 and potential global mortality,"Continent 1 is Asia. China may have contained the disease and has been assigned a potential infection rate of 10% with -normal‖ mortality of 4%. The rest of Asia is assumed to become up to 80% infected with 10% mortality due to health care services being overwhelmed. Continent 2 is Africa which is assumed to behave like the rest of Asia. Continent 3 is Europe which has so far shown overall too few and too late responses to the disease. For this reason, Europe has been assigned a 60% overall infection rate and a (perhaps) optimistic 4% -normal‖ mortality. Continent 4 is North America. The United States has reacted very poorly to date and hospitals are already filling up. This country also has issues pertaining to insurance and illegal and non-registered immigrants, and for this reason, a 10% mortality has been assigned in anticipation of health care services becoming overwhelmeed. Canada has also acted late and the same conditions have been applied. For Mexico, it has been assumed that social distancing strictures will be at least as difficult to enforce as in Europe, in the setting of a poorer health care system. Continent 5 is South America and this has been somewhat arbitrarily been assigned a 60% infection rate."
7308,Unknown unknowns – COVID-19 and potential global mortality,Continent 6 is Oceania (including Australia) and the population here has already responded poorly to social distancing measures so a 60% infection rate has been assigned to this region with a -normal‖ mortality rate.
7308,Unknown unknowns – COVID-19 and potential global mortality,"At the risk of sounding melodramatic, but with an extreme sense of realism, healthcare risks being plunged into the Middle-Ages if the public do not do their part. Infection cannot occur in the absence of contact. The only way to mitigate these numbers is to apply social distancing and take the precautions outlined above."
7914,Using psychoneuroimmunity against COVID-19,"The worldwide outbreak of coronavirus disease 2019 (COVID-19) raises concerns of widespread panic and anxiety in individuals subjected to the real or perceived threat of the virus. Compared to general populations, patients who are institutionalized in a closed unit are also very vulnerable to COVID-19 infection and complications. This crisis touched on difficult issues of not only psychiatric care and ethics, but also psychological impacts to psychiatric care givers. In this Viewpoint, we address both physical and biopsychosocial aspects of this infection, as well as the psychoneuroimmunity of preventive strategies of healthy lifestyle, regular exercise, balanced nutrition, quality sleep and a strong connection with people. Social distancing and wearing masks might help us from pathogen exposure, yet such these measures also prevent us from expressing compassion and friendliness. Therefore, all forms of psychological support should be routinely implemented not only to consider psychological resilience but also to enhance psychoneuroimmunity against COVID-19."
7914,Using psychoneuroimmunity against COVID-19,"COVID-19 is highly contagious because most persons lack immunity against this novel virus. Current COVID-19 therapy involves only treatment of symptoms, supportive care and prevention of complication, but no targeted medication is yet available. Therefore, the best strategy remains prevention, namely the reduction of pathogen exposure and enhancing individual immunity. Studies have shown that a healthy lifestyle, regular exercise, balanced nutrition, quality sleep and a strong connection with their families and communities are all associated with a boost to the immune system. During this outbreak, social distancing or wearing masks might help us to prevent infection, yet don't let these measures prevent us from expressing compassion and friendliness. Indeed, all forms of psychological support"
9429,Transmission potential and severity of COVID-19 in South Korea,"In particular, South Korea quickly became one of the hardest hit countries with COVID-19, exhibiting a steadily increasing number of cases over the last few days. Hence, it is crucial to monitor the progression of these outbreaks and assess the effects of various public health measures including the social distancing measures in real time."
9429,Transmission potential and severity of COVID-19 in South Korea,"Transmission of SARS-CoV-2 in Korea has been exacerbated by amplified transmission in confined settings including a hospital and a church in the city of Daegu. The hospital-based outbreak alone involves 118 individuals including 9 hospital staff (News, 2020) , which is reminiscent of past outbreaks of SARS and MERS (Chowell et al., 2015) . To respond to the mounting number of cases of COVID-19, the Korean government has raised the COVID-19 alert level to the highest (Level 4) on February 23, 2020 to facilitate the implementation of comprehensive social distancing measures including enhanced infection control measures in hospitals, restricting public transportation, cancelling social events, and delaying the start of school activities (Kim, 2020) ."
9429,Transmission potential and severity of COVID-19 in South Korea,"Moreover, the imported cases contribute little to the secondary disease transmission in Korea, as majority of these cases occurred in the early phase of the epidemic, with the most recent imported case reported on February 9, 2020. These findings support the range of social distancing interventions that the Korean government put in place in order to bring the outbreak under control as soon as possible."
9429,Transmission potential and severity of COVID-19 in South Korea,"Since the first COVID-19 case was reported on January 20, 2020, the epidemic's trajectory showed a rapid upturn until February 18, 2020, when a super spreader (Case 31) was identified in the Shincheonji (Cowling et al., 2015) . Amplification of MERS in the hospital setting has been associated with diagnostic delays, which increase the window of opportunity for the generation of secondary cases (Chowell et al., 2015) . This underscores the need for rapid testing, case detection and active contact tracing to isolate infectious individuals."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"In late 2019, the World Health Organization was alerted to a cluster of pneumonia cases in Wuhan City in China; the novel coronavirus responsible for this outbreak was named 2019-nCOV, 1 and the disease the virus causes is now known as COVID-19(coronavirus disease 2019). 2 The previously-unknown virus in question was later found to be highly transmissible, with the average infected person spreading the disease to up to 3 other people. 3 Initial reported case fatality ratesranged from2.5% to 3%, 4,5 prompting a global response. Communities around the world have been advised to stay in their homes as much as possible, avoid gatherings, frequently wash their hands or employ other hand hygiene techniques, remain at least 1 to 2 meters away from others (""social distancing""), and avoid touching their faces to avoid or delay transmission of 2019-nCOV. 1, 2 These guidelines would severely hamper many day-to-day activities if implemented at a high level of fidelity, so voluntarycompliance is likely to be uneven at best."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"All constructs of the HBM are underpinned by an individual's background and experiences. Thus, the community pharmacist should bear in mind the patient's demographic characteristics, socioeconomic status, and knowledge base. These things will interact directly with the constructs that comprise individual belief. In the United States, for example, persons of lower socioeconomic standing may not have access to all of the tools needed to overcome all perceived barriers to action. Persons of differing ethnic backgrounds may react differently to calls for social distancingdue to varying cultural attitudes and norms regarding interpersonal interactions. An exhaustive list of how all modifying factors may interact with other HBM constructs in the context of COVID-19 is beyond the present scope, though some thoughts on modifying factors will be provided when discussing other constructs of the HBM. As community members themselves, community pharmacists are uniquely positioned to understand how these factors may impact their patients. Community pharmacists are encouraged to consider how their patients' perspectives on COVID-19 may differ from their own, and to modify communication strategies accordingly."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"In the case of COVID-19 prevention behaviors, perceived barriers are likely to be profound in many cases. Manycultures are not configured to operate with minimal contact outside of the home for extended periods. In most industrial and post-industrialeconomies, people will likely need income to afford housing, food, and other essentials. Because of population density, people living in urban areas may find it difficult to practice effective social distancing when they must leave their residences. Additionally, some individuals may find the psychological distress that comes with spending more time away from others or the fear of the disease to be a barrier in its own right. Other individual factors may present special barriers, such as having to find appropriate childcare following school closings. Many of these barriers may be beyond the capacity of a community pharmacist to resolve in a brief encounter, but the pharmacist should be willing to work with and appropriately reassure a concerned patient as time constraints allow."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"Community pharmacists can help patients who express difficulties with perceived self-efficacy with respect to COVID-19 prevention behaviors. This may be as simple as listening to concerns regarding isolation and social distancing, then reinforcing positive steps that have already been taken. Pharmacies can reinforce self-efficacy beliefs by working with patients who experiment with mail order refills, drivethrough pharmacy, or other contact-minimization methods. These measures can be presented to patients as proof of their ability to take effective action. Ultimately, it will be vital to understand the individual and their contexts. The preexisting relationships community pharmacists have with their patient populations will be similarly invaluable. Example questions to assess perceived self-efficacy:"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"In the HBM, ""cues to action"" are prompts that remind individuals that they should act on a particular challenge. This is another construct that community pharmacists are likely to act on in the course of everyday practice. In the past, this may have meant reminding patients of medication adherence behaviors or counseling on smoking cessation. In the context of COVID-19 prevention behaviors, it may mean reminding patients standing in line to practice social distancing or advising patients who exhibit symptoms of COVID-19 to quarantine themselves for the length of time suggested by their doctor. Community pharmacists should take care to practice cultural competence when providing guidance: some communities and individuals will want their healthcare professionals to be cooperative and consultative, while others may prefer simple, clear directions from an expert."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"COVID-19 presents a unique challenge to public health. Effective mitigation of the disease will require nontrivial efforts from a significant fraction of the world population, including social distancing and avoiding unnecessary interactions with others. No matter how stringently these measures are recommended, a fraction of people may not believe that they can or should act in ways that will limit the threat. The HBM is a model that has been used to study behaviors related to preventing or mitigating disease. It conceptualizes beliefs about disease as being comprised of the perception of the threat as severe and relevant, the perception of benefits of and barriers to acting, and the perception of one's intrinsic ability to act. As trusted, community-facing healthcare professionals, pharmacists are uniquely suited to bring about change in patient behaviors.Community pharmacists using HBM to reinforce COVID-19 mitigation behaviors should appropriately emphasize the severity and susceptibility of the threat, emphasize barriers to acting, help patients identify ways to overcome barriers to acting, and reinforce self-efficacy beliefs."
