index,title,text
2254,Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,Ensures service continuity Social distancing of healthcare workers Infection control and facilitates contact tracing Common feature of each team:
7308,Unknown unknowns – COVID-19 and potential global mortality,"(11) The careful application of basic containment measures cannot be overestimated: hand washing with soap and water, avoiding touching the face and social distancingstaying home, avoiding crowds and refraining from touching one another."
7308,Unknown unknowns – COVID-19 and potential global mortality,"For Mexico, it has been assumed that social distancing strictures will be at least as difficult to enforce as in Europe, in the setting of a poorer health care system"
7308,Unknown unknowns – COVID-19 and potential global mortality,Continent 6 is Oceania (including Australia) and the population here has already responded poorly to social distancing measures so a 60% infection rate has been assigned to this region with a -normal‖ mortality rate.
7308,Unknown unknowns – COVID-19 and potential global mortality,The only way to mitigate these numbers is to apply social distancing and take the precautions outlined above.
7914,Using psychoneuroimmunity against COVID-19,"Social distancing and wearing masks might help us from pathogen exposure, yet such these measures also prevent us from expressing compassion and friendliness"
7914,Using psychoneuroimmunity against COVID-19,"During this outbreak, social distancing or wearing masks might help us to prevent infection, yet don't let these measures prevent us from expressing compassion and friendliness"
9429,Transmission potential and severity of COVID-19 in South Korea,"Hence, it is crucial to monitor the progression of these outbreaks and assess the effects of various public health measures including the social distancing measures in real time."
9429,Transmission potential and severity of COVID-19 in South Korea,"To respond to the mounting number of cases of COVID-19, the Korean government has raised the COVID-19 alert level to the highest (Level 4) on February 23, 2020 to facilitate the implementation of comprehensive social distancing measures including enhanced infection control measures in hospitals, restricting public transportation, cancelling social events, and delaying the start of school activities (Kim, 2020) ."
9429,Transmission potential and severity of COVID-19 in South Korea,These findings support the range of social distancing interventions that the Korean government put in place in order to bring the outbreak under control as soon as possible.
9429,Transmission potential and severity of COVID-19 in South Korea,"This underscores the need for rapid testing, case detection and active contact tracing to isolate infectious individuals."
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"Communities around the world have been advised to stay in their homes as much as possible, avoid gatherings, frequently wash their hands or employ other hand hygiene techniques, remain at least 1 to 2 meters away from others (""social distancing""), and avoid touching their faces to avoid or delay transmission of 2019-nCOV"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,Persons of differing ethnic backgrounds may react differently to calls for social distancingdue to varying cultural attitudes and norms regarding interpersonal interactions
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"Because of population density, people living in urban areas may find it difficult to practice effective social distancing when they must leave their residences"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"This may be as simple as listening to concerns regarding isolation and social distancing, then reinforcing positive steps that have already been taken"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"In the context of COVID-19 prevention behaviors, it may mean reminding patients standing in line to practice social distancing or advising patients who exhibit symptoms of COVID-19 to quarantine themselves for the length of time suggested by their doctor"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"Effective mitigation of the disease will require nontrivial efforts from a significant fraction of the world population, including social distancing and avoiding unnecessary interactions with others"
9951,Community pharmacists and communication in the time of COVID-19: Applying the health belief model,"To that end, the HBM's constructs of perceived threat, perceived barriers, perceived benefits, perceived self-efficacy, and cues to action can be immediately deployed to help reinforce COVID-19 limiting behaviors, such as social distancing and remaining in the home whenever possible."
10459,Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,"The European Centre for Disease Prevention and Control, the United Kingdom National Health Service and several other international agencies covering Asia, North America and most regions of the world have recommended similar ""social distancing"" measures (2, 3) ."
10459,Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,• Social distancing -keeping at least six feet (1.8 meters) between individuals in waiting rooms and work spaces as much as feasible
10459,Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,• Encourage sick employees to stay home
10459,Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,"• Leverage telemedicine technologies and isolated workstations to allow for reading and interpretation, that allow for social distancing to limit staff exposure, when possible"
10459,Society of Cardiovascular Computed Tomography Guidance for Use of Cardiac Computed Tomography Amidst the COVID-19 Pandemic,"To advise practitioners of cardiovascular CT on how to implement the CDC recommendation of rescheduling non-urgent visits as necessary and international guidelines on social distancing, the SCCT offers the following guiding points ( Table 1) and suggestions for CCT timing based on various indications ( Table 2) "
10552,The COVID-19 pandemic: Implications for the cytology laboratory,"The duration that these ""social distancing"" measures were kept in place correlated with a reduced total mortality burden 4 "
10552,The COVID-19 pandemic: Implications for the cytology laboratory,"If physical meetings are not possible because of the social distancing measures implemented, web-based conferences using a variety of platforms can be used"
10552,The COVID-19 pandemic: Implications for the cytology laboratory,"This may include, in addition to personal hygiene measures (handwashing, avoiding touching eyes, nose and mouth), ""social distancing"", avoiding close contact with other people, and, if possible, avoiding public transportation, avoiding crowds and gatherings of over 10 people, avoiding contact with people who might be sick (i.e"
33942,"Real-time monitoring the transmission potential of COVID-19 in Singapore, February 2020","Also, because multiple unlinked community cases of COVID-19 have been reported (21) , various social distancing measures have been put in place including advising the public against large social gatherings in order to mitigate the risk of community transmission (22, 23) "
33942,"Real-time monitoring the transmission potential of COVID-19 in Singapore, February 2020","These social distancing measures reduce the risk of onward transmission not only within Singapore, but also beyond the borders of this highly connected nation (24)."
33942,"Real-time monitoring the transmission potential of COVID-19 in Singapore, February 2020","Singapore has a world-class health system including a highly efficient contact tracing mechanism in place (24), continued epidemiological investigations and active case finding efforts are needed to control the outbreak."
33942,"Real-time monitoring the transmission potential of COVID-19 in Singapore, February 2020",These estimates highlight the significant effects of containment efforts in Singapore while at the same time suggest the need to maintain social distancing and active case finding efforts to stomp out all active or incoming chains of transmission.
34026,Transmission potential of COVID-19 in South Korea,"Hence, it is crucial to monitor the progression of these outbreaks and assess the effects of various public health measures including the social distancing measures in real time."
34026,Transmission potential of COVID-19 in South Korea,These findings support the range of social distancing interventions that the Korean government put in place in order to bring the outbreak under control as soon as possible.
34026,Transmission potential of COVID-19 in South Korea,"This underscores the need for rapid testing, case detection and active contact tracing to isolate infectious individuals."
34026,Transmission potential of COVID-19 in South Korea,"Public health authorities are currently focused on containing the outbreak in the city of Daegu, the epicenter of the outbreak and North Gyeongsang Province where active contact tracing is being conducted"
34026,Transmission potential of COVID-19 in South Korea,Our estimates support the implementation of a wide array of social distancing measures to rapidly contain the outbreak in Korea
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"Results also suggest that the social distancing intervention should be continued for the next few months in China to prevent case numbers increasing again after travel restrictions were lifted on February 17, 2020."
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"The containment strategy of integrated nonpharmaceutical interventions (NPIs) including travel bans and restrictions, contact reductions and social distancing, early case identification and isolation have been rapidly deloyed across China to contain the outbreak, and the combination of these interventions appears to be effective"
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"Our findings show that NPIs, inter-city travel restrictions, social distancing and contact reductions, as well as early case detection and isolations, have substantially reduced COVID-19 transmission across China, with the effectiveness of different interventions varying"
